序号,零件名称,零件类型,三角面数,X尺寸(mm),Y尺寸(mm),Z尺寸(mm),包围盒体积(cm³),是否显示,颜色
1,20Q347F-300LB-01_阀体,阀体/阀盖类,124578,697.5,876.0,875.9,535210.0,是,#89939f
2,20Q347F-300LB-02_阀盖,阀体/阀盖类,101996,314.5,876.0,876.0,241339.2,是,#8e98a3
3,20Q347F-300LB-03_球体,球体,34024,560.0,748.0,731.0,306201.3,是,#949da8
4,20Q347F-300LB-04_阀杆,阀杆类,2638,109.0,109.0,399.0,4740.5,是,#99a2ad
5,20Q347F-300LB-05-01_支承圈,阀座/支承类,80542,92.0,582.0,582.0,31162.6,是,#9fa8b1
6,20Q347F-300LB-05-02_密封圈_装配,阀座/支承类,2160,13.0,532.0,532.0,3679.2,是,#a5adb6
7,O形圈φ510X7,O形圈/密封,19824,9.5,532.0,532.0,2688.5,是,#89939f
8,防火石墨绳_3X3,石墨/防火,744,3.0,532.0,531.7,848.6,是,#8e98a3
9,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275,弹簧,1732,23.0,13.5,13.5,4.2,是,#949da8
10,O形圈φ730X53,O形圈/密封,28814,7.1,755.0,755.0,4047.0,是,#99a2ad
11,金属缠绕垫_φ774Xφ759X45,垫片/缠绕垫,20360,3.5,774.0,774.0,2096.7,是,#9fa8b1
12,GBT_901_全牙螺柱_M30_M30X145,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.4,是,#a5adb6
13,GBT_6175六角螺母_M30,螺母,312,28.6,47.2,50.3,68.0,是,#89939f
14,O形圈φ95X53,O形圈/密封,3818,104.0,104.0,7.1,76.8,是,#8e98a3
15,O形圈φ135X53,O形圈/密封,5572,150.0,150.0,7.1,159.7,是,#949da8
16,止推垫_φ110Xφ95X2,垫片/缠绕垫,152,110.0,110.0,2.0,24.2,是,#99a2ad
17,滑动轴承_φ100Xφ95X65,轴承,570,100.0,100.0,65.0,649.7,是,#9fa8b1
18,20Q347F-300LB-08_前盖,阀体/阀盖类,19882,233.0,233.0,177.0,9608.7,是,#a5adb6
